text,label,label_v2
I want to search for information on BERT models.,search,0
Please send me the latest report,send,1
Download the user manual from the website,download,2
I want to search for information on BERT models.,search,0
send the documentation to email,send,1
download the open source project,download,2
I need to download some files from the server.,download,2
Can you please send me the updated spreadsheet?,send,1
I'm looking to search for articles on AI ethics.,search,0
Please send me the presentation slides for the meeting.,send,1
Download the software update from the link.,download,2
I want to search for recipes for chicken dishes.,search,0
send the contract to the client for review,send,1
download the research paper from the journal.,download,2
I'm planning to search for vacation destinations.,search,0
Send me the invoice for the recent purchase.,send,1
Download the music album from the website.,download,2
I need to search for a new job opportunity.,search,0
Please send me the project proposal document.,send,1
Download the PDF file from the shared folder.,download,2
I want to search for information on climate change.,search,0
send the meeting agenda to all attendees,send,1
download the source code for the project.,download,2
I'm trying to search for a local restaurant.,search,0
Please send me the product catalog via email.,send,1
Download the tutorial videos for Excel.,download,2
I want to search for the nearest gas station.,search,0
send the photos to my Dropbox folder,send,1
download the software installation package.,download,2
I need to search for a nearby pharmacy.,search,0
Send me the monthly financial report.,send,1
Download the ebook from the author's website.,download,2
I want to search for fashion trends.,search,0
send the contract for legal review,send,1
download the movie from the streaming service.,download,2
I'm looking to search for home improvement tips.,search,0
Please send me the instructions for assembly.,send,1
Download the game demo from the official site.,download,2
I want to search for news articles on politics.,search,0
send the tickets to my mobile phone,send,1
download the brochure for the event.,download,2
I need to search for information on COVID-19.,search,0
Send me the presentation for the client meeting.,send,1
Download the podcast episodes from the platform.,download,2
I want to search for tech reviews.,search,0
send the project files to the shared drive,send,1
download the software update for my phone.,download,2
I'm planning to search for workout routines.,search,0
Please send me the travel itinerary.,send,1
Download the tutorial videos for Excel.,download,2
I want to search for a good book to read.,search,0
send the quote to the customer via email,send,1
download the research dataset.,download,2
I'm trying to search for new music releases.,search,0
Send me the contract for electronic signature.,send,1
Download the software trial version.,download,2
I need to search for vegetarian recipes.,search,0
send the report to the department head,send,1
download the movie subtitles.,download,2
I want to search for hiking trails.,search,0
Please send me the meeting minutes.,send,1
Download the app from the app store.,download,2
I want to search for job openings in marketing.,search,0
send the photos to the cloud storage,send,1
download the presentation slides.,download,2
I'm looking to search for historical events.,search,0
Send me the product specifications.,send,1
Download the user guide for the camera.,download,2
I want to search for travel destinations in Europe.,search,0
send the purchase receipt via email,send,1
download the game mods.,download,2
I need to search for health and fitness tips.,search,0
Please send me the software license key.,send,1
Download the audio book from the website.,download,2
I want to search for information on space exploration.,search,0
send the agenda for the team meeting,send,1
download the source code repository.,download,2
I'm planning to search for movie reviews.,search,0
Send me the proposal for the new project.,send,1
Download the latest updates for Windows.,download,2
I want to search for vegan recipes.,search,0
send the contract to the legal department,send,1
download the music album from the artist's website.,download,2
I'm trying to search for DIY home improvement ideas.,search,0
Please send me the financial statement.,send,1
Download the software installer from the link.,download,2
I need to search for pet care tips.,search,0
send the meeting invitation to all participants,send,1
download the research paper from the journal website.,download,2
I want to search for fashion inspiration.,search,0
send the policy document to the client for review,send,1
download the video tutorial for video editing.,download,2
I'm looking to search for the best pizza places.,search,0
Send me the invoice for the recent purchase order.,send,1
Download the PDF document from the shared folder.,download,2
I want to search for information on renewable energy.,search,0
send the meeting agenda to all team members,send,1
download the source code for the project repository.,download,2
I'm planning to search for healthy recipes.,search,0
Please send me the project plan document.,send,1
Download the software package from the official website.,download,2
I need to search for a local coffee shop.,search,0
send the photos to the Dropbox folder,send,1
download the software update for my laptop.,download,2
I want to search for hiking trails in the mountains.,search,0
send the monthly report to the CEO,send,1
download the ebook from the author's website.,download,2
I'm trying to search for news articles on technology.,search,0
Send me the contract for legal approval.,send,1
Download the movie from the streaming platform.,download,2
I want to search for home decor ideas.,search,0
send the tickets to my mobile device,send,1
download the brochure for the upcoming event.,download,2
I need to search for information on climate change.,search,0
Send me the presentation for the client presentation.,send,1
Download the podcast episodes from the platform.,download,2
I want to search for tech tutorials.,search,0
send the project files to the shared team drive,send,1
download the software update for my smartphone.,download,2
I'm planning to search for workout routines for beginners.,search,0
Please send me the travel booking details.,send,1
Download the tutorial videos for Excel.,download,2
I want to search for a classic novel to read.,search,0
send the quote to the customer via email,send,1
download the research dataset from the university website.,download,2
I'm looking to search for new music releases in jazz.,search,0
Send me the contract for electronic signature.,send,1
Download the software trial version from the official website.,download,2
I need to search for vegetarian dinner recipes.,search,0
send the report to the department head via email,send,1
download the movie subtitles for the film.,download,2
I want to search for hiking trails in the national park.,search,0
Please send me the meeting agenda.,send,1
Download the app from the app store on my phone.,download,2
I want to search for job openings in the tech industry.,search,0
send the photos to the cloud storage service,send,1
download the presentation slides for the conference.,download,2
I'm looking to search for historical events in the 20th century.,search,0
Send me the product specifications for the new product.,send,1
Download the user guide for the camera.,download,2
